year,session,utt_id,morph_issue,morph_path,source_pcm_seconds,source_pcm_category,text_duration_status,csv_duration_seconds,hangul_syllables,eojeol_count,hangul_syllables_per_second,eojeol_per_second,exclusion_reason,recommended_action
2021,SDRW2100001747,SDRW2100001747.1.1.216,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100001747\SDRW2100001747.1.1.216.TextGrid,0.100,원본짧음,ok,4.740000,22,9,4.641,1.899,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100001747,SDRW2100001747.1.1.217,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100001747\SDRW2100001747.1.1.217.TextGrid,0.100,원본짧음,ok,3.720000,15,5,4.032,1.344,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100001747,SDRW2100001747.1.1.218,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100001747\SDRW2100001747.1.1.218.TextGrid,0.100,원본짧음,ok,2.443000,13,5,5.321,2.047,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100001747,SDRW2100001747.1.1.219,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100001747\SDRW2100001747.1.1.219.TextGrid,0.100,원본짧음,ok,1.300000,5,1,3.846,0.769,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100001747,SDRW2100001747.1.1.22,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100001747\SDRW2100001747.1.1.22.TextGrid,0.100,원본짧음,ok,2.692000,12,5,4.458,1.857,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100001747,SDRW2100001747.1.1.220,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100001747\SDRW2100001747.1.1.220.TextGrid,0.100,원본짧음,ok,3.987000,16,7,4.013,1.756,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100001747,SDRW2100001747.1.1.221,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100001747\SDRW2100001747.1.1.221.TextGrid,0.100,원본짧음,ok,3.141000,15,4,4.776,1.273,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100001747,SDRW2100001747.1.1.222,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100001747\SDRW2100001747.1.1.222.TextGrid,0.100,원본짧음,ok,4.320000,16,8,3.704,1.852,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100001747,SDRW2100001747.1.1.223,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100001747\SDRW2100001747.1.1.223.TextGrid,0.100,원본짧음,ok,3.998000,17,6,4.252,1.501,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100001747,SDRW2100001747.1.1.224,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100001747\SDRW2100001747.1.1.224.TextGrid,0.100,원본짧음,ok,2.402000,9,3,3.747,1.249,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100001747,SDRW2100001747.1.1.225,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100001747\SDRW2100001747.1.1.225.TextGrid,0.100,원본짧음,ok,2.760000,13,4,4.710,1.449,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100001747,SDRW2100001747.1.1.226,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100001747\SDRW2100001747.1.1.226.TextGrid,0.100,원본짧음,ok,1.400000,2,1,1.429,0.714,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100001747,SDRW2100001747.1.1.227,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100001747\SDRW2100001747.1.1.227.TextGrid,0.100,원본짧음,ok,4.960000,21,11,4.234,2.218,source_pcm_too_short,exclude_source_audio_unusable
