year,session_id,utt_id,reason,lab_path,lab_bytes,wav_path,wav_exists,analysis_eligible,morph_disposition
2021,SDRW2100003587,SDRW2100003587.1.1.382,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003587\SDRW2100003587.1.1.382.lab,59,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003587\SDRW2100003587.1.1.382.wav,True,False,exclude_source_audio_unusable
2021,SDRW2100003588,SDRW2100003588.1.1.122,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003588\SDRW2100003588.1.1.122.lab,68,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003588\SDRW2100003588.1.1.122.wav,True,False,exclude_source_audio_unusable
2021,SDRW2100003590,SDRW2100003590.1.1.16,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003590\SDRW2100003590.1.1.16.lab,39,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003590\SDRW2100003590.1.1.16.wav,True,True,
2021,SDRW2100003590,SDRW2100003590.1.1.192,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003590\SDRW2100003590.1.1.192.lab,59,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003590\SDRW2100003590.1.1.192.wav,True,True,
2021,SDRW2100003680,SDRW2100003680.1.1.33,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003680\SDRW2100003680.1.1.33.lab,116,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003680\SDRW2100003680.1.1.33.wav,True,True,
2021,SDRW2100003710,SDRW2100003710.1.1.276,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003710\SDRW2100003710.1.1.276.lab,9,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003710\SDRW2100003710.1.1.276.wav,True,False,exclude_source_audio_unusable
2021,SDRW2100003710,SDRW2100003710.1.1.277,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003710\SDRW2100003710.1.1.277.lab,88,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003710\SDRW2100003710.1.1.277.wav,True,True,
2021,SDRW2100003746,SDRW2100003746.1.1.108,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003746\SDRW2100003746.1.1.108.lab,32,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003746\SDRW2100003746.1.1.108.wav,True,True,
2021,SDRW2100003746,SDRW2100003746.1.1.302,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003746\SDRW2100003746.1.1.302.lab,57,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003746\SDRW2100003746.1.1.302.wav,True,True,
2021,SDRW2100003747,SDRW2100003747.1.1.281,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003747\SDRW2100003747.1.1.281.lab,79,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003747\SDRW2100003747.1.1.281.wav,True,True,
2021,SDRW2100003748,SDRW2100003748.1.1.213,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003748\SDRW2100003748.1.1.213.lab,43,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003748\SDRW2100003748.1.1.213.wav,True,True,
