year,session,target_utt_id,source_utt_id,status,block_length,target_duration_seconds,source_duration_seconds,duration_residual_seconds,source_wav
2021,SDRW2100000800,SDRW2100000800.1.1.175,SDRW2100000800.1.1.175,identity_high_confidence,1,1.79,1.789875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.175.wav
2021,SDRW2100000800,SDRW2100000800.1.1.176,SDRW2100000800.1.1.176,identity_high_confidence,1,4.45,4.449875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.176.wav
2021,SDRW2100000800,SDRW2100000800.1.1.177,SDRW2100000800.1.1.177,identity_high_confidence,1,2.72,2.719875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.177.wav
2021,SDRW2100000800,SDRW2100000800.1.1.178,SDRW2100000800.1.1.178,identity_high_confidence,1,1.4,1.399875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.178.wav
2021,SDRW2100000800,SDRW2100000800.1.1.179,SDRW2100000800.1.1.179,identity_high_confidence,1,0.97,0.969875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.179.wav
2021,SDRW2100000800,SDRW2100000800.1.1.180,SDRW2100000800.1.1.180,identity_high_confidence,1,2.42,2.419875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.180.wav
2021,SDRW2100000800,SDRW2100000800.1.1.181,SDRW2100000800.1.1.181,identity_high_confidence,1,2.471,2.469875,-0.011125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.181.wav
2021,SDRW2100000800,SDRW2100000800.1.1.182,SDRW2100000800.1.1.182,identity_high_confidence,1,3.004,2.999875,-0.014125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.182.wav
2021,SDRW2100000800,SDRW2100000800.1.1.183,SDRW2100000800.1.1.183,identity_high_confidence,1,3.335,3.339875,-0.005125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.183.wav
2021,SDRW2100000800,SDRW2100000800.1.1.184,SDRW2100000800.1.1.184,identity_high_confidence,1,1.01,1.009875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.184.wav
2021,SDRW2100000800,SDRW2100000800.1.1.185,SDRW2100000800.1.1.185,identity_high_confidence,1,0.78,0.78,-0.01,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.185.wav
2021,SDRW2100000800,SDRW2100000800.1.1.186,SDRW2100000800.1.1.186,identity_high_confidence,1,1.55,1.549875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.186.wav
2021,SDRW2100000800,SDRW2100000800.1.1.187,SDRW2100000800.1.1.187,identity_high_confidence,1,1.63,1.629875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.187.wav
2021,SDRW2100000800,SDRW2100000800.1.1.188,SDRW2100000800.1.1.188,identity_high_confidence,1,1.37,1.369875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.188.wav
2021,SDRW2100000800,SDRW2100000800.1.1.189,SDRW2100000800.1.1.189,identity_high_confidence,1,1.54,1.539875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.189.wav
2021,SDRW2100000800,SDRW2100000800.1.1.190,SDRW2100000800.1.1.190,identity_high_confidence,1,1.1,1.099875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.190.wav
2021,SDRW2100000800,SDRW2100000800.1.1.191,SDRW2100000800.1.1.191,identity_high_confidence,1,2.83,2.829875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.191.wav
2021,SDRW2100000800,SDRW2100000800.1.1.192,SDRW2100000800.1.1.192,identity_high_confidence,1,1.908,1.909875,-0.008125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.192.wav
2021,SDRW2100000800,SDRW2100000800.1.1.193,SDRW2100000800.1.1.193,identity_high_confidence,1,2.292,2.289875,-0.012125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.193.wav
2021,SDRW2100000800,SDRW2100000800.1.1.194,SDRW2100000800.1.1.194,identity_high_confidence,1,2.701,2.699875,-0.011125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.194.wav
2021,SDRW2100000800,SDRW2100000800.1.1.195,SDRW2100000800.1.1.195,identity_high_confidence,1,2.649,2.649875,-0.009125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.195.wav
