projection_status,diagnostic_layer,diagnostic_class,edit_signature,target_count,source_type_count,total_occurrences,count_2020,count_2021,count_2022,count_2023,count_2024,count_2025,example_targets_json
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:CH;SUB:J>W;RULE_ONLY:Y,287,287,1714,177,449,332,214,296,246,"[""촤령"", ""촤령소"", ""수중촤령"", ""촤령기"", ""촤령을""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:Y;RULE_ONLY:L;SUB:N>Y,211,211,1697,149,449,307,219,285,288,"[""경려기"", ""경려글"", ""영향려기"", ""영향려글"", ""경력또""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:S;SUB:SS>Y;SUB:B>P,114,114,1423,18,289,192,219,302,403,"[""쇼핑모를"", ""쇼핑모레서"", ""쇼핑모리"", ""쇼핑모레"", ""쇼핑모른""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,single_rule_unit_missing_from_candidate,RULE_ONLY:H,229,229,1321,237,135,141,101,363,344,"[""시러핻떤"", ""시러해써"", ""시러해써요"", ""시러핻꼬"", ""시러핻꺼든""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:W;SUB:E>AE,406,406,1311,182,284,243,173,206,223,"[""흑뙈지"", ""멛뙈지"", ""꼳뙈지"", ""홷때"", ""홷뿔""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,SUB:J>D;RULE_ONLY:Y,147,149,1151,114,244,230,131,213,219,"[""맏꾜대"", ""맏쬬"", ""맏껴"", ""맏껴야"", ""맏껴서""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,single_rule_unit_missing_from_candidate,RULE_ONLY:D,175,175,1133,149,303,195,140,164,182,"[""이곧쩌곧"", ""녿치다"", ""부딛치다"", ""부딛침"", ""녿치고""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,SUB:NG>N;RULE_ONLY:EU_G,29,29,1091,54,381,70,66,207,313,"[""인가늬"", ""한구기늬"", ""순가늬"", ""친구부늬"", ""한궁마늬""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,SUB:JJ>D;RULE_ONLY:N,31,32,1087,69,362,243,150,168,95,"[""읻껜네"", ""읻껜는데"", ""읻껜네요"", ""읻껜니"", ""읻껜나""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,SUB:NG>N;RULE_ONLY:W,340,340,1051,192,302,104,131,176,146,"[""한구괴대"", ""불근귀거북"", ""윤곽썬"", ""인궈늘"", ""인궈니""]"
