review_order,year,session,speaker_id,utt_id,wav_path,lab_path,textgrid_path,decision,notes
15,2020,SDRW2000000901,SD2001042,SDRW2000000901.1.1.171,D:\20_AUDIO\04_wav_id_recovered_staging\individual\2020\SDRW2000000901\SDRW2000000901.1.1.171.wav,D:\20_AUDIO\04_wav_id_recovered_staging\individual\2020\SDRW2000000901\SDRW2000000901.1.1.171.lab,D:\20_AUDIO\08_textgrid_research_v2_staging\2020\SDRW2000000901\SDRW2000000901.1.1.171.TextGrid,approved,
16,2020,SDRW2000000118,SD2000180,SDRW2000000118.1.1.40,D:\20_AUDIO\04_wav_id_recovered_staging\individual\2020\SDRW2000000118\SDRW2000000118.1.1.40.wav,D:\20_AUDIO\04_wav_id_recovered_staging\individual\2020\SDRW2000000118\SDRW2000000118.1.1.40.lab,D:\20_AUDIO\08_textgrid_research_v2_staging\2020\SDRW2000000118\SDRW2000000118.1.1.40.TextGrid,approved,
17,2020,SDRW2000000713,SD2000848,SDRW2000000713.1.1.320,D:\20_AUDIO\04_wav_id_recovered_staging\individual\2020\SDRW2000000713\SDRW2000000713.1.1.320.wav,D:\20_AUDIO\04_wav_id_recovered_staging\individual\2020\SDRW2000000713\SDRW2000000713.1.1.320.lab,D:\20_AUDIO\08_textgrid_research_v2_staging\2020\SDRW2000000713\SDRW2000000713.1.1.320.TextGrid,approved,
18,2020,SDRW2000002015,SD2002490,SDRW2000002015.1.1.299,D:\20_AUDIO\04_wav_id_recovered_staging\individual\2020\SDRW2000002015\SDRW2000002015.1.1.299.wav,D:\20_AUDIO\04_wav_id_recovered_staging\individual\2020\SDRW2000002015\SDRW2000002015.1.1.299.lab,D:\20_AUDIO\08_textgrid_research_v2_staging\2020\SDRW2000002015\SDRW2000002015.1.1.299.TextGrid,approved,
19,2020,SDRW2000000699,SD2000833,SDRW2000000699.1.1.18,D:\20_AUDIO\04_wav_id_recovered_staging\individual\2020\SDRW2000000699\SDRW2000000699.1.1.18.wav,D:\20_AUDIO\04_wav_id_recovered_staging\individual\2020\SDRW2000000699\SDRW2000000699.1.1.18.lab,D:\20_AUDIO\08_textgrid_research_v2_staging\2020\SDRW2000000699\SDRW2000000699.1.1.18.TextGrid,approved,
20,2020,SDRW2000001631,SD2001973,SDRW2000001631.1.1.165,D:\20_AUDIO\04_wav_id_recovered_staging\individual\2020\SDRW2000001631\SDRW2000001631.1.1.165.wav,D:\20_AUDIO\04_wav_id_recovered_staging\individual\2020\SDRW2000001631\SDRW2000001631.1.1.165.lab,D:\20_AUDIO\08_textgrid_research_v2_staging\2020\SDRW2000001631\SDRW2000001631.1.1.165.TextGrid,approved,
21,2020,SDRW2000001838,SD2002268,SDRW2000001838.1.1.265,D:\20_AUDIO\04_wav_id_recovered_staging\individual\2020\SDRW2000001838\SDRW2000001838.1.1.265.wav,D:\20_AUDIO\04_wav_id_recovered_staging\individual\2020\SDRW2000001838\SDRW2000001838.1.1.265.lab,D:\20_AUDIO\08_textgrid_research_v2_staging\2020\SDRW2000001838\SDRW2000001838.1.1.265.TextGrid,approved,
22,2020,SDRW2000000647,SD2000782,SDRW2000000647.1.1.79,D:\20_AUDIO\04_wav_id_recovered_staging\individual\2020\SDRW2000000647\SDRW2000000647.1.1.79.wav,D:\20_AUDIO\04_wav_id_recovered_staging\individual\2020\SDRW2000000647\SDRW2000000647.1.1.79.lab,D:\20_AUDIO\08_textgrid_research_v2_staging\2020\SDRW2000000647\SDRW2000000647.1.1.79.TextGrid,approved,
23,2020,SDRW2000000258,SD2002411,SDRW2000000258.1.1.57,D:\20_AUDIO\04_wav_id_recovered_staging\individual\2020\SDRW2000000258\SDRW2000000258.1.1.57.wav,D:\20_AUDIO\04_wav_id_recovered_staging\individual\2020\SDRW2000000258\SDRW2000000258.1.1.57.lab,D:\20_AUDIO\08_textgrid_research_v2_staging\2020\SDRW2000000258\SDRW2000000258.1.1.57.TextGrid,approved,
24,2020,SDRW2000001886,SD2002345,SDRW2000001886.1.1.102,D:\20_AUDIO\04_wav_id_recovered_staging\individual\2020\SDRW2000001886\SDRW2000001886.1.1.102.wav,D:\20_AUDIO\04_wav_id_recovered_staging\individual\2020\SDRW2000001886\SDRW2000001886.1.1.102.lab,D:\20_AUDIO\08_textgrid_research_v2_staging\2020\SDRW2000001886\SDRW2000001886.1.1.102.TextGrid,approved,
