year,speaker_id,utt_id,target_token,eojeol_idx,form,lab_text,eojeol_map_status,tagged_group,morph_signature,candidate_id,pron_hangul,pron_source_field,urimal_id,lexicon_pos,sense_no,match_status,occurrence_mfa_status,match_reason,global_plain_word_status,manual_decision,manual_notes,source_search_master_csv
2020,SD2001287,SDRW2000001129.1.1.466,굉장히,7,그래서 거기에 근데 가톨릭에 대한 게 굉장히 많이 나왔어요.,그래서 거기에 근데 가톨릭에 대한 게 굉장히 많이 나왔어요,position_exact,굉장히/MAG,굉장히/MAG,878fbaa8eae911a9d08a4b294c6a04415685bbbc49c8e8f0178d47335cb513e8,궹장히,pron_2,33882,MAG,002,exact_single_morph_pos,eligible_occurrence_candidate,단일 형태소 표면형과 품사가 사전 표제어와 정확히 일치,pending_full_occurrence_audit,,,D:\10_LAYERS\05_search_master_pre_mfa_staging\pre_mfa_v1_20260725\2020\SDRW2000001129.csv
2020,SD2001376,SDRW2000001214.1.1.95,있다,3,평가가 절하돼 있다,평가가 절하돼 있다,position_exact,있/VX+다/EF,있/VX+다/EF,37b8c41cfa80da6bafeb3ca84f1831c4645098fc1012a84bcfbda2ac058fd670,읻따,pron_1,370630,VV,001,surface_only_morphologically_composed,reference_only,표면 철자는 같지만 여러 형태소로 구성되어 단일 사전 표제어의 발음을 이 occurrence에 적용할 근거가 없음,pending_full_occurrence_audit,B가 더 나음,있다의 격음이 경음으로 표기됨. 다만 t͈ 부분에 대한 해석 필요,D:\10_LAYERS\05_search_master_pre_mfa_staging\pre_mfa_v1_20260725\2020\SDRW2000001214.csv
2020,SD2001376,SDRW2000001214.1.1.95,있다,3,평가가 절하돼 있다,평가가 절하돼 있다,position_exact,있/VX+다/EF,있/VX+다/EF,87a620981709eeaeab3b747b7c4fe29794c383e90d5bd314c96b9bd411aed8bc,읻따,pron_1,374152,VV,002,surface_only_morphologically_composed,reference_only,표면 철자는 같지만 여러 형태소로 구성되어 단일 사전 표제어의 발음을 이 occurrence에 적용할 근거가 없음,pending_full_occurrence_audit,B가 더 나음,있다의 격음이 경음으로 표기됨. 다만 t͈ 부분에 대한 해석 필요,D:\10_LAYERS\05_search_master_pre_mfa_staging\pre_mfa_v1_20260725\2020\SDRW2000001214.csv
2020,SD2001376,SDRW2000001214.1.1.95,있다,3,평가가 절하돼 있다,평가가 절하돼 있다,position_exact,있/VX+다/EF,있/VX+다/EF,c00e6c43e14d9add73352b3717a8915047e97fe37d5073691069678a3380b6f8,읻따,pron_1,395554,VV,003,surface_only_morphologically_composed,reference_only,표면 철자는 같지만 여러 형태소로 구성되어 단일 사전 표제어의 발음을 이 occurrence에 적용할 근거가 없음,pending_full_occurrence_audit,B가 더 나음,있다의 격음이 경음으로 표기됨. 다만 t͈ 부분에 대한 해석 필요,D:\10_LAYERS\05_search_master_pre_mfa_staging\pre_mfa_v1_20260725\2020\SDRW2000001214.csv
2020,SD2001376,SDRW2000001214.1.1.95,있다,3,평가가 절하돼 있다,평가가 절하돼 있다,position_exact,있/VX+다/EF,있/VX+다/EF,0e40866734c29eed445947cbbf8cb6101abe720d1205d7e277d5b504a63d4ab0,읻따,pron_1,395555,VV,004,surface_only_morphologically_composed,reference_only,표면 철자는 같지만 여러 형태소로 구성되어 단일 사전 표제어의 발음을 이 occurrence에 적용할 근거가 없음,pending_full_occurrence_audit,B가 더 나음,있다의 격음이 경음으로 표기됨. 다만 t͈ 부분에 대한 해석 필요,D:\10_LAYERS\05_search_master_pre_mfa_staging\pre_mfa_v1_20260725\2020\SDRW2000001214.csv
2020,SD2001376,SDRW2000001214.1.1.95,있다,3,평가가 절하돼 있다,평가가 절하돼 있다,position_exact,있/VX+다/EF,있/VX+다/EF,0a4d7c49cd79296b0127bd3bfd5673619bcfe11de2e6547bf0b0a9002f720498,읻따,pron_1,333940,VA,005,surface_only_morphologically_composed,reference_only,표면 철자는 같지만 여러 형태소로 구성되어 단일 사전 표제어의 발음을 이 occurrence에 적용할 근거가 없음,pending_full_occurrence_audit,B가 더 나음,있다의 격음이 경음으로 표기됨. 다만 t͈ 부분에 대한 해석 필요,D:\10_LAYERS\05_search_master_pre_mfa_staging\pre_mfa_v1_20260725\2020\SDRW2000001214.csv
2020,SD2001376,SDRW2000001214.1.1.95,있다,3,평가가 절하돼 있다,평가가 절하돼 있다,position_exact,있/VX+다/EF,있/VX+다/EF,0e8d6b0cb20ff23762b640c44cd89305d882ad5464020d888a04917973741d39,읻따,pron_1,337421,VA,006,surface_only_morphologically_composed,reference_only,표면 철자는 같지만 여러 형태소로 구성되어 단일 사전 표제어의 발음을 이 occurrence에 적용할 근거가 없음,pending_full_occurrence_audit,B가 더 나음,있다의 격음이 경음으로 표기됨. 다만 t͈ 부분에 대한 해석 필요,D:\10_LAYERS\05_search_master_pre_mfa_staging\pre_mfa_v1_20260725\2020\SDRW2000001214.csv
2020,SD2001376,SDRW2000001214.1.1.95,있다,3,평가가 절하돼 있다,평가가 절하돼 있다,position_exact,있/VX+다/EF,있/VX+다/EF,753ebbc78406a8bdd4943782ef6302144355857627195468c77533e49bb8d2f0,읻따,pron_1,338167,VA,007,surface_only_morphologically_composed,reference_only,표면 철자는 같지만 여러 형태소로 구성되어 단일 사전 표제어의 발음을 이 occurrence에 적용할 근거가 없음,pending_full_occurrence_audit,B가 더 나음,있다의 격음이 경음으로 표기됨. 다만 t͈ 부분에 대한 해석 필요,D:\10_LAYERS\05_search_master_pre_mfa_staging\pre_mfa_v1_20260725\2020\SDRW2000001214.csv
2020,SD2001376,SDRW2000001214.1.1.95,있다,3,평가가 절하돼 있다,평가가 절하돼 있다,position_exact,있/VX+다/EF,있/VX+다/EF,1f9287125dca3aefdc054280375203b281437fa3920022427e77d480fb5716da,읻따,pron_1,338461,VA,008,surface_only_morphologically_composed,reference_only,표면 철자는 같지만 여러 형태소로 구성되어 단일 사전 표제어의 발음을 이 occurrence에 적용할 근거가 없음,pending_full_occurrence_audit,B가 더 나음,있다의 격음이 경음으로 표기됨. 다만 t͈ 부분에 대한 해석 필요,D:\10_LAYERS\05_search_master_pre_mfa_staging\pre_mfa_v1_20260725\2020\SDRW2000001214.csv
2020,SD2001376,SDRW2000001214.1.1.95,있다,3,평가가 절하돼 있다,평가가 절하돼 있다,position_exact,있/VX+다/EF,있/VX+다/EF,1b3ead7695c3e8eeb196f7a52e66d24fb5ba15c556ae0ad29dc9461f5ce40024,읻따,pron_1,338461,VA,008,surface_only_morphologically_composed,reference_only,표면 철자는 같지만 여러 형태소로 구성되어 단일 사전 표제어의 발음을 이 occurrence에 적용할 근거가 없음,pending_full_occurrence_audit,B가 더 나음,있다의 격음이 경음으로 표기됨. 다만 t͈ 부분에 대한 해석 필요,D:\10_LAYERS\05_search_master_pre_mfa_staging\pre_mfa_v1_20260725\2020\SDRW2000001214.csv
