year,input_contract_id,utt_id,reason_code,exclusion_scope,evidence_path,decision,notes
2020,7b52204cdb2119b057e5d961ecd75ab33858a3f5a1323d5018d9649e24f53840,SDRW2000000159.1.1.162,audio_pairing_unresolved,alignment_and_analysis,C:\Users\ari30\research\2026_summer_research\outputs\reports\PLAN_2020_wav_duration_recovery_20260801.csv,pending,target_unresolved
2020,7b52204cdb2119b057e5d961ecd75ab33858a3f5a1323d5018d9649e24f53840,SDRW2000000159.1.1.163,audio_pairing_unresolved,alignment_and_analysis,C:\Users\ari30\research\2026_summer_research\outputs\reports\PLAN_2020_wav_duration_recovery_20260801.csv,pending,target_unresolved
2020,7b52204cdb2119b057e5d961ecd75ab33858a3f5a1323d5018d9649e24f53840,SDRW2000000159.1.1.164,audio_pairing_unresolved,alignment_and_analysis,C:\Users\ari30\research\2026_summer_research\outputs\reports\PLAN_2020_wav_duration_recovery_20260801.csv,pending,target_unresolved
2020,7b52204cdb2119b057e5d961ecd75ab33858a3f5a1323d5018d9649e24f53840,SDRW2000000159.1.1.165,audio_pairing_unresolved,alignment_and_analysis,C:\Users\ari30\research\2026_summer_research\outputs\reports\PLAN_2020_wav_duration_recovery_20260801.csv,pending,target_unresolved
2020,7b52204cdb2119b057e5d961ecd75ab33858a3f5a1323d5018d9649e24f53840,SDRW2000000159.1.1.218,audio_pairing_unresolved,alignment_and_analysis,C:\Users\ari30\research\2026_summer_research\outputs\reports\PLAN_2020_wav_duration_recovery_20260801.csv,pending,target_unresolved
2020,7b52204cdb2119b057e5d961ecd75ab33858a3f5a1323d5018d9649e24f53840,SDRW2000000159.1.1.25,audio_pairing_unresolved,alignment_and_analysis,C:\Users\ari30\research\2026_summer_research\outputs\reports\PLAN_2020_wav_duration_recovery_20260801.csv,pending,target_unresolved
2020,7b52204cdb2119b057e5d961ecd75ab33858a3f5a1323d5018d9649e24f53840,SDRW2000000159.1.1.253,audio_pairing_unresolved,alignment_and_analysis,C:\Users\ari30\research\2026_summer_research\outputs\reports\PLAN_2020_wav_duration_recovery_20260801.csv,pending,target_unresolved
2020,7b52204cdb2119b057e5d961ecd75ab33858a3f5a1323d5018d9649e24f53840,SDRW2000000159.1.1.26,audio_pairing_unresolved,alignment_and_analysis,C:\Users\ari30\research\2026_summer_research\outputs\reports\PLAN_2020_wav_duration_recovery_20260801.csv,pending,target_unresolved
2020,7b52204cdb2119b057e5d961ecd75ab33858a3f5a1323d5018d9649e24f53840,SDRW2000000159.1.1.415,audio_pairing_unresolved,alignment_and_analysis,C:\Users\ari30\research\2026_summer_research\outputs\reports\PLAN_2020_wav_duration_recovery_20260801.csv,pending,target_unresolved
2020,7b52204cdb2119b057e5d961ecd75ab33858a3f5a1323d5018d9649e24f53840,SDRW2000000176.1.1.1,audio_pairing_unresolved,alignment_and_analysis,C:\Users\ari30\research\2026_summer_research\outputs\reports\PLAN_2020_wav_duration_recovery_20260801.csv,pending,target_unresolved
2020,7b52204cdb2119b057e5d961ecd75ab33858a3f5a1323d5018d9649e24f53840,SDRW2000000176.1.1.10,audio_pairing_unresolved,alignment_and_analysis,C:\Users\ari30\research\2026_summer_research\outputs\reports\PLAN_2020_wav_duration_recovery_20260801.csv,pending,target_unresolved
