year,utt_id,session_id,utterance,wav_duration_seconds,tier_names,qc_status,qc_semantic_equal,qc_byte_equal,wav_file,textgrid_file,csv_file,wav_sha256,textgrid_sha256,csv_sha256,source_wav_path,source_textgrid_path,source_companion_table
2020,SDRW2000000277.1.1.385,SDRW2000000277,자주 갈 수 있는,1.589000,words | phones_mfa | phoneme_r_auto | utterance | utterance_orth_r | morph_analysis_utt,exact_match,true,true,2020_SDRW2000000277.1.1.385.wav,2020_SDRW2000000277.1.1.385.TextGrid,2020_SDRW2000000277.1.1.385.csv,f9e9b7387a8c163a880ce28b86aeefcd22c1889ec82e44333caebf9229c33f10,4c770ee17febf9c957df9dbda0c85ce50df8ee609194379d2fae66d5418b7b0f,4b71c54ac85f45af7bfaca842f08a7db4edc3e53259cebb7c7d16c988c37ef01,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\corpus\2020\SDRW2000000277\SDRW2000000277.1.1.385.wav,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\research_6tier\2020\SDRW2000000277\SDRW2000000277.1.1.385.TextGrid,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\research_6tier\2020\_tables\utterance_alignment.csv.gz
2021,SDRW2100000136.1.1.47,SDRW2100000136,어디든 갈 수 있잖아.,1.849875,words | phones_mfa | phoneme_r_auto | utterance | utterance_orth_r | morph_analysis_utt,exact_match,true,true,2021_SDRW2100000136.1.1.47.wav,2021_SDRW2100000136.1.1.47.TextGrid,2021_SDRW2100000136.1.1.47.csv,d4055a593c91cd0027dc03167894ef0700aba0548aefad35b2d7c08ec2b49790,4ba27522351d8dc22bcb6661bc30fe12f1390f821888733953e9190213f93dd4,788924a1c375d7a249af0516a2afbcbaab9d7c2ffe76d66620c28cbb0f2f1341,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\corpus\2021\SDRW2100000136\SDRW2100000136.1.1.47.wav,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\research_6tier\2021\SDRW2100000136\SDRW2100000136.1.1.47.TextGrid,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\research_6tier\2021\_tables\utterance_alignment.csv.gz
2022,SDRW2200000735.1.1.282,SDRW2200000735,지금 그런 고민들이 고민들을 할 필요도 없을 거 없을 테니까,4.440000,words | phones_mfa | phoneme_r_auto | utterance | utterance_orth_r | morph_analysis_utt,exact_match,true,true,2022_SDRW2200000735.1.1.282.wav,2022_SDRW2200000735.1.1.282.TextGrid,2022_SDRW2200000735.1.1.282.csv,63207b70b1865166bd7fa29ab2a42e0a500fc45dd6aab9bd550051115217c4c2,b4523dc578ca8261865f5fc61c5ddb637e16124335501cff0f8d6b84b0451c94,5dc40e1c803388e1cf9c669e152d284c974f6f3bf1650a1ec8129cfa9e7af605,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\corpus\2022\SDRW2200000735\SDRW2200000735.1.1.282.wav,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\research_6tier\2022\SDRW2200000735\SDRW2200000735.1.1.282.TextGrid,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\research_6tier\2022\_tables\utterance_alignment.csv.gz
2023,SDRW2300001067.1.1.22,SDRW2300001067,기회 날려서,1.438000,words | phones_mfa | phoneme_r_auto | utterance | utterance_orth_r | morph_analysis_utt,exact_match,true,true,2023_SDRW2300001067.1.1.22.wav,2023_SDRW2300001067.1.1.22.TextGrid,2023_SDRW2300001067.1.1.22.csv,1188409d6252493337096457c1077a511ef00ef9008a3bbad346bfe312be8f0b,ffa2125770417ff0832193acd89c149da41c0abe87c3039b1d1493e617189b2b,a1a07c0aad9831dae207281460dd843759fe037fc741f62642dcba9440e91471,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\corpus\2023\SDRW2300001067\SDRW2300001067.1.1.22.wav,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\research_6tier\2023\SDRW2300001067\SDRW2300001067.1.1.22.TextGrid,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\research_6tier\2023\_tables\utterance_alignment.csv.gz
2024,SDRW2400002376.1.1.22,SDRW2400002376,아마 올해도 일본 여행을 다녀온 게 아닌가 싶은 생각이 듭니다.,6.578563,words | phones_mfa | phoneme_r_auto | utterance | utterance_orth_r | morph_analysis_utt,exact_match,true,true,2024_SDRW2400002376.1.1.22.wav,2024_SDRW2400002376.1.1.22.TextGrid,2024_SDRW2400002376.1.1.22.csv,42bda6e4539dd6fbce7235e3b0bd1ec36c4aa8fd6f7fdca5c5643ea445c41878,4ba066018f131f0a714b33c04a8973d6d59d2abaf0ea852f7c4f2c388a6b472b,ffd2b644bb615736f8a1f1320deb543119c379ad161f7561b9929c97b45a7a8e,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\corpus\2024\SDRW2400002376\SDRW2400002376.1.1.22.wav,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\research_6tier\2024\SDRW2400002376\SDRW2400002376.1.1.22.TextGrid,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\research_6tier\2024\_tables\utterance_alignment.csv.gz
2025,SDRW2500000528.1.1.189,SDRW2500000528,언제 한번 사서 집에 한번 해 해 줘야 될 거 같아.,3.760000,words | phones_mfa | phoneme_r_auto | utterance | utterance_orth_r | morph_analysis_utt,exact_match,true,true,2025_SDRW2500000528.1.1.189.wav,2025_SDRW2500000528.1.1.189.TextGrid,2025_SDRW2500000528.1.1.189.csv,8f026235c21af683199611d65c33f7ef410bb57ae077a89aa9d3c61e8c3ba93e,95a2cd2c69306a78bbff65abf3ea640b3380f5994b5894cbf372c903fc9c68a3,35a668fdc4408f62b1574bf6c44524141226fb4d77c985e38e018affcc323a86,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\corpus\2025\SDRW2500000528\SDRW2500000528.1.1.189.wav,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\research_6tier\2025\SDRW2500000528\SDRW2500000528.1.1.189.TextGrid,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\research_6tier\2025\_tables\utterance_alignment.csv.gz
